,Unnamed: 0,Artist_list,Songs_list
2743,2743,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/happyhome.html
2638,2638,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/heartzofmen.html
2720,2720,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/heartzofmen.html
2657,2657,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/heavenainthard2find.html
2622,2622,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/heavyinthegame.html
2728,2728,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/hell4ahustler.html
2673,2673,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/hellrazor.html
2816,2816,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/hennessey.html
2819,2819,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/hennesseyredspydaremix.html
2729,2729,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/highspeed.html
2707,2707,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/hitemup.html
2685,2685,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/holdonbestrong.html
2668,2668,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/holdyahead.html
2647,2647,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/hollaatme.html
2601,2601,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/hollaifyahearme.html
2797,2797,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/hollaifyahearme.html
2727,2727,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/homeboyz.html
2635,2635,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/howdoyouwantit.html
2702,2702,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/howdoyouwantit.html
2715,2715,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/howlongwilltheymournme.html
2643,2643,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/iaintmadatcha.html
2710,2710,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/iaintmadatcha.html
2591,2591,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/idontgiveafuck.html
2617,2617,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/ifidie2nite.html
2842,2842,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/ifidieyoung.html
2596,2596,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/ifmyhomiecalls.html
2843,2843,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/iftheylovetheirkidz.html
2614,2614,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/igetaround.html
2711,2711,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/igetaround.html
2841,2841,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/imasoldier.html
2678,2678,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/imgettinmoney.html
2686,2686,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/imlosinit.html
2828,2828,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/international.html
2765,2765,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/intro.html
2658,2658,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/introbombfirstmysecondreply.html
2625,2625,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/itainteasy.html
2676,2676,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/iwonderifheavengotaghetto.html
2692,2692,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/iwonderifheavengotaghettohiphopversion.html
2664,2664,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/justlikedaddy.html
2611,2611,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/keepyaheadup.html
2696,2696,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/keepyaheadup.html
2731,2731,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/killuminati.html
2665,2665,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/krazy.html
2758,2758,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/lastonesleft.html
2605,2605,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/lastwordz.html
2775,2775,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/latenight.html
2739,2739,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/letemhaveit.html
2761,2761,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/letemhaveitremix.html
2741,2741,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/letter2myunborn.html
2721,2721,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/lettertothepresident.html
2681,2681,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/letthemthangsgo.html
2679,2679,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/lietokickit.html
2639,2639,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/lifegoeson.html
2706,2706,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/lifegoeson.html
2663,2663,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/lifeofanoutlaw.html
2844,2844,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/lifesohard.html
2738,2738,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/lilhomies.html
2623,2623,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/lordknows.html
2845,2845,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/lostsouls.html
2810,2810,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/loyaltothegame.html
2821,2821,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/loyaltothegamedjquikremix.html
2846,2846,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/madeniggaz.html
2771,2771,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/mamasjustalittlegirl.html
2618,2618,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/meagainsttheworld.html
2701,2701,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/meagainsttheworld.html
2667,2667,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/meandmygirlfriend.html
2783,2783,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/militaryminds.html
2750,2750,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/mob.html
2778,2778,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/myblockremix.html
2752,2752,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/myclosestroaddogz.html
2770,2770,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/neverbpeace.html
2780,2780,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/nevercallubitchagain.html
2847,2847,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/neverhadafriendlikeme.html
2812,2812,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/nigganeverignorantgettinggoalsaccomplished.html
2753,2753,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/niggaznatureremix.html
2637,2637,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/nomorepain.html
2690,2690,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/nothinbutlove.html
2677,2677,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/nothingtolose.html
2627,2627,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/oldschool.html
2793,2793,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/onedayatatime.html
2695,2695,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/onlyfearofdeath.html
2640,2640,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/onlygodcanjudgeme.html
2671,2671,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/openfire.html
2630,2630,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/outlaw.html
2807,2807,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/outonbail.html
2791,2791,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/outro.html
2823,2823,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/pacslife.html
2833,2833,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/pacsliferemix.html
2602,2602,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/pacsthemeinterlude.html
2848,2848,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/pain.html
2801,2801,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/pantherpower.html
2615,2615,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/papazsong.html
2600,2600,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/parttimemutha.html
2607,2607,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/peepgame.html
2651,2651,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/picturemerollin.html
2714,2714,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/picturemerollin.html
2825,2825,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/playacardzrightfemale.html
2831,2831,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/playacardzrightmale.html
2603,2603,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/pointthefinga.html
2818,2818,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/poniggabluesscottstorchremix.html
2836,2836,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/psychopath.html
2653,2653,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/rathabeyanigga.html
2683,2683,https://www.azlyrics.com/19/2pac.html,../lyrics/2pac/ready4whatever.html
